,Data,Cum dec,Actual Label,ECG decision,mlp decision
26,"BPM                        71.258907
EGM Mean RV                 0.193264
EGM STD RV                  0.162124
EGM Skewness RV             1.179174
EGM Kurtosis RV             0.360347
R-R Interval RV           842.000000
Per Mean                   72.169744
Per STD                    18.429740
Per Skewness               -0.456428
Per Kurtosis               -1.251117
Current Perfusion Grad     26.332423
Quality of Perfusion        2.477896
Perfusion Amplitude         2.949924
Name: 26, dtype: float64",no-shock,Normal,no-shock,[1.]
27,"BPM                        68.104427
EGM Mean RV                 0.229397
EGM STD RV                  0.219752
EGM Skewness RV             1.002483
EGM Kurtosis RV            -0.458783
R-R Interval RV           881.000000
Per Mean                   70.912426
Per STD                    20.147827
Per Skewness               -0.497727
Per Kurtosis               -1.216065
Current Perfusion Grad     26.565225
Quality of Perfusion        2.372047
Perfusion Amplitude         2.965281
Name: 27, dtype: float64",no-shock,Normal,no-shock,[1.]
28,"BPM                        73.081608
EGM Mean RV                 0.188440
EGM STD RV                  0.183084
EGM Skewness RV             1.349210
EGM Kurtosis RV             0.759796
R-R Interval RV           821.000000
Per Mean                   72.705403
Per STD                    19.434973
Per Skewness               -0.433269
Per Kurtosis               -1.259851
Current Perfusion Grad     25.472504
Quality of Perfusion        2.288642
Perfusion Amplitude         2.934775
Name: 28, dtype: float64",no-shock,Normal,no-shock,[1.]
29,"BPM                        68.886338
EGM Mean RV                 0.202179
EGM STD RV                  0.210576
EGM Skewness RV             1.199036
EGM Kurtosis RV             0.127303
R-R Interval RV           871.000000
Per Mean                   71.897590
Per STD                    20.068995
Per Skewness               -0.444570
Per Kurtosis               -1.241782
Current Perfusion Grad     24.523718
Quality of Perfusion        2.360314
Perfusion Amplitude         2.901610
Name: 29, dtype: float64",no-shock,Normal,no-shock,[1.]
30,"BPM                        69.284065
EGM Mean RV                 0.188841
EGM STD RV                  0.192510
EGM Skewness RV             1.244509
EGM Kurtosis RV             0.576208
R-R Interval RV           866.000000
Per Mean                   71.804456
Per STD                    18.422701
Per Skewness               -0.450118
Per Kurtosis               -1.247176
Current Perfusion Grad     21.770267
Quality of Perfusion        2.452750
Perfusion Amplitude         2.753357
Name: 30, dtype: float64",no-shock,Normal,no-shock,[1.]
31,"BPM                        68.728522
EGM Mean RV                 0.165642
EGM STD RV                  0.137401
EGM Skewness RV             0.959298
EGM Kurtosis RV            -0.393393
R-R Interval RV           873.000000
Per Mean                   70.846288
Per STD                    17.732825
Per Skewness               -0.469186
Per Kurtosis               -1.240118
Current Perfusion Grad     20.713937
Quality of Perfusion        2.499639
Perfusion Amplitude         2.703827
Name: 31, dtype: float64",no-shock,Normal,no-shock,[1.]
32,"BPM                        69.204152
EGM Mean RV                 0.171417
EGM STD RV                  0.174318
EGM Skewness RV             1.199913
EGM Kurtosis RV             0.431316
R-R Interval RV           867.000000
Per Mean                   70.092028
Per STD                    17.322093
Per Skewness               -0.403485
Per Kurtosis               -1.321004
Current Perfusion Grad     22.747482
Quality of Perfusion        2.537095
Perfusion Amplitude         2.796914
Name: 32, dtype: float64",no-shock,Normal,no-shock,[1.]
33,"BPM                        67.491564
EGM Mean RV                 0.211193
EGM STD RV                  0.215527
EGM Skewness RV             1.128634
EGM Kurtosis RV            -0.020300
R-R Interval RV           889.000000
Per Mean                   68.490801
Per STD                    16.815456
Per Skewness               -0.400854
Per Kurtosis               -1.298303
Current Perfusion Grad     22.643086
Quality of Perfusion        2.513006
Perfusion Amplitude         2.768508
Name: 33, dtype: float64",no-shock,Normal,no-shock,[1.]
34,"BPM                        68.181818
EGM Mean RV                 0.206757
EGM STD RV                  0.211854
EGM Skewness RV             1.158243
EGM Kurtosis RV            -0.010369
R-R Interval RV           880.000000
Per Mean                   67.846589
Per STD                    16.728513
Per Skewness               -0.318484
Per Kurtosis               -1.287873
Current Perfusion Grad     26.234148
Quality of Perfusion        2.471041
Perfusion Amplitude         2.935187
Name: 34, dtype: float64",no-shock,Normal,no-shock,[1.]
35,"BPM                        69.204152
EGM Mean RV                 0.187074
EGM STD RV                  0.204144
EGM Skewness RV             1.226088
EGM Kurtosis RV             0.178430
R-R Interval RV           867.000000
Per Mean                   66.233634
Per STD                    16.760633
Per Skewness               -0.348681
Per Kurtosis               -1.288897
Current Perfusion Grad     27.420811
Quality of Perfusion        2.437792
Perfusion Amplitude         2.997038
Name: 35, dtype: float64",no-shock,Normal,no-shock,[1.]
36,"BPM                        68.493151
EGM Mean RV                 0.195529
EGM STD RV                  0.205591
EGM Skewness RV             1.076369
EGM Kurtosis RV            -0.171605
R-R Interval RV           876.000000
Per Mean                   67.308525
Per STD                    17.394125
Per Skewness               -0.334671
Per Kurtosis               -1.348250
Current Perfusion Grad     30.705919
Quality of Perfusion        2.492366
Perfusion Amplitude         3.145072
Name: 36, dtype: float64",no-shock,Normal,no-shock,[1.]
37,"BPM                        70.011669
EGM Mean RV                 0.189586
EGM STD RV                  0.175719
EGM Skewness RV             1.204765
EGM Kurtosis RV             0.333274
R-R Interval RV           857.000000
Per Mean                   68.458141
Per STD                    17.877796
Per Skewness               -0.309322
Per Kurtosis               -1.401987
Current Perfusion Grad     30.814264
Quality of Perfusion        2.573460
Perfusion Amplitude         3.182082
Name: 37, dtype: float64",no-shock,Normal,no-shock,[1.]
38,"BPM                        66.592675
EGM Mean RV                 0.166103
EGM STD RV                  0.149727
EGM Skewness RV             0.858702
EGM Kurtosis RV            -0.692072
R-R Interval RV           901.000000
Per Mean                   67.307559
Per STD                    16.330812
Per Skewness               -0.412890
Per Kurtosis               -1.281174
Current Perfusion Grad     23.219508
Quality of Perfusion        2.656787
Perfusion Amplitude         2.852540
Name: 38, dtype: float64",no-shock,Normal,no-shock,[1.]
39,"BPM                        71.513707
EGM Mean RV                 0.170884
EGM STD RV                  0.179193
EGM Skewness RV             1.159807
EGM Kurtosis RV             0.289694
R-R Interval RV           839.000000
Per Mean                   68.161141
Per STD                    16.896213
Per Skewness               -0.433713
Per Kurtosis               -1.300894
Current Perfusion Grad     24.061223
Quality of Perfusion        2.684718
Perfusion Amplitude         2.887573
Name: 39, dtype: float64",no-shock,Normal,no-shock,[1.]
40,"BPM                        67.796610
EGM Mean RV                 0.213092
EGM STD RV                  0.215773
EGM Skewness RV             1.105151
EGM Kurtosis RV            -0.155643
R-R Interval RV           885.000000
Per Mean                   68.042305
Per STD                    17.630839
Per Skewness               -0.470417
Per Kurtosis               -1.268205
Current Perfusion Grad     22.779659
Quality of Perfusion        2.639950
Perfusion Amplitude         2.843495
Name: 40, dtype: float64",no-shock,Normal,no-shock,[1.]
41,"BPM                        67.264574
EGM Mean RV                 0.218630
EGM STD RV                  0.211167
EGM Skewness RV             1.143332
EGM Kurtosis RV             0.003420
R-R Interval RV           892.000000
Per Mean                   68.430529
Per STD                    16.461818
Per Skewness               -0.437366
Per Kurtosis               -1.285769
Current Perfusion Grad     20.990250
Quality of Perfusion        2.650593
Perfusion Amplitude         2.723376
Name: 41, dtype: float64",no-shock,Normal,no-shock,[1.]
42,"BPM                        64.171123
EGM Mean RV                 0.202724
EGM STD RV                  0.188882
EGM Skewness RV             1.003252
EGM Kurtosis RV            -0.057050
R-R Interval RV           935.000000
Per Mean                   66.456969
Per STD                    16.146931
Per Skewness               -0.453612
Per Kurtosis               -1.253193
Current Perfusion Grad     19.104188
Quality of Perfusion        2.628986
Perfusion Amplitude         2.633599
Name: 42, dtype: float64",no-shock,Normal,no-shock,[1.]
43,"BPM                        71.513707
EGM Mean RV                 0.148785
EGM STD RV                  0.124681
EGM Skewness RV             1.256127
EGM Kurtosis RV             0.268720
R-R Interval RV           839.000000
Per Mean                   66.461926
Per STD                    16.251868
Per Skewness               -0.441191
Per Kurtosis               -1.257249
Current Perfusion Grad     24.228243
Quality of Perfusion        2.606132
Perfusion Amplitude         2.817824
Name: 43, dtype: float64",no-shock,Normal,no-shock,[1.]
44,"BPM                        67.189250
EGM Mean RV                 0.183275
EGM STD RV                  0.172198
EGM Skewness RV             1.222792
EGM Kurtosis RV             0.292781
R-R Interval RV           893.000000
Per Mean                   67.602633
Per STD                    18.100428
Per Skewness               -0.330502
Per Kurtosis               -1.424278
Current Perfusion Grad     32.698261
Quality of Perfusion        2.400570
Perfusion Amplitude         3.217743
Name: 44, dtype: float64",no-shock,Normal,no-shock,[1.]
45,"BPM                        67.415730
EGM Mean RV                 0.203296
EGM STD RV                  0.210918
EGM Skewness RV             1.201958
EGM Kurtosis RV             0.074218
R-R Interval RV           890.000000
Per Mean                   68.767960
Per STD                    16.979675
Per Skewness               -0.251509
Per Kurtosis               -1.528162
Current Perfusion Grad     33.369174
Quality of Perfusion        2.535347
Perfusion Amplitude         3.295944
Name: 45, dtype: float64",no-shock,Normal,no-shock,[1.]
46,"BPM                        63.626723
EGM Mean RV                 0.215524
EGM STD RV                  0.241688
EGM Skewness RV             1.093313
EGM Kurtosis RV            -0.305059
R-R Interval RV           943.000000
Per Mean                   70.060214
Per STD                    16.192912
Per Skewness               -0.249550
Per Kurtosis               -1.555977
Current Perfusion Grad     32.243865
Quality of Perfusion        2.595750
Perfusion Amplitude         3.374381
Name: 46, dtype: float64",no-shock,Normal,no-shock,[1.]
47,"BPM                        74.165637
EGM Mean RV                 0.161393
EGM STD RV                  0.161698
EGM Skewness RV             1.492375
EGM Kurtosis RV             1.570718
R-R Interval RV           809.000000
Per Mean                   72.289031
Per STD                    17.009784
Per Skewness               -0.250728
Per Kurtosis               -1.626554
Current Perfusion Grad     35.520791
Quality of Perfusion        2.440469
Perfusion Amplitude         3.513052
Name: 47, dtype: float64",no-shock,Normal,no-shock,[1.]
48,"BPM                        62.827225
EGM Mean RV                 0.201068
EGM STD RV                  0.182773
EGM Skewness RV             0.840848
EGM Kurtosis RV            -0.561019
R-R Interval RV           955.000000
Per Mean                   74.954976
Per STD                    16.639120
Per Skewness               -0.239627
Per Kurtosis               -1.622435
Current Perfusion Grad     36.101288
Quality of Perfusion        2.368229
Perfusion Amplitude         3.519399
Name: 48, dtype: float64",no-shock,Normal,no-shock,[1.]
49,"BPM                        71.090047
EGM Mean RV                 0.189248
EGM STD RV                  0.187196
EGM Skewness RV             1.376534
EGM Kurtosis RV             0.744566
R-R Interval RV           844.000000
Per Mean                   75.400227
Per STD                    17.679606
Per Skewness               -0.261387
Per Kurtosis               -1.617093
Current Perfusion Grad     37.388959
Quality of Perfusion        2.381956
Perfusion Amplitude         3.600258
Name: 49, dtype: float64",no-shock,Normal,no-shock,[1.]
50,"BPM                        66.666667
EGM Mean RV                 0.216112
EGM STD RV                  0.221463
EGM Skewness RV             1.039745
EGM Kurtosis RV            -0.254672
R-R Interval RV           900.000000
Per Mean                   76.144102
Per STD                    17.799104
Per Skewness               -0.254016
Per Kurtosis               -1.638052
Current Perfusion Grad     37.989342
Quality of Perfusion        2.335099
Perfusion Amplitude         3.568314
Name: 50, dtype: float64",no-shock,Normal,no-shock,[1.]
51,"BPM                        68.965517
EGM Mean RV                 0.182266
EGM STD RV                  0.189509
EGM Skewness RV             1.442570
EGM Kurtosis RV             1.057882
R-R Interval RV           870.000000
Per Mean                   75.947713
Per STD                    16.738325
Per Skewness               -0.225232
Per Kurtosis               -1.608644
Current Perfusion Grad     34.701059
Quality of Perfusion        2.475577
Perfusion Amplitude         3.396018
Name: 51, dtype: float64",no-shock,Normal,no-shock,[1.]
52,"BPM                        61.919505
EGM Mean RV                 0.178959
EGM STD RV                  0.152001
EGM Skewness RV             0.765035
EGM Kurtosis RV            -0.855290
R-R Interval RV           969.000000
Per Mean                   70.788642
Per STD                    16.234308
Per Skewness               -0.231992
Per Kurtosis               -1.547046
Current Perfusion Grad     28.511090
Quality of Perfusion        2.586176
Perfusion Amplitude         3.153257
Name: 52, dtype: float64",no-shock,Normal,no-shock,[1.]
53,"BPM                        69.605568
EGM Mean RV                 0.162414
EGM STD RV                  0.176408
EGM Skewness RV             1.576007
EGM Kurtosis RV             1.692125
R-R Interval RV           862.000000
Per Mean                   69.027793
Per STD                    15.761406
Per Skewness               -0.312158
Per Kurtosis               -1.396523
Current Perfusion Grad     24.557971
Quality of Perfusion        2.691286
Perfusion Amplitude         2.952102
Name: 53, dtype: float64",no-shock,Normal,no-shock,[1.]
54,"BPM                        65.717415
EGM Mean RV                 0.210767
EGM STD RV                  0.225544
EGM Skewness RV             1.210284
EGM Kurtosis RV             0.115474
R-R Interval RV           913.000000
Per Mean                   65.897042
Per STD                    17.127888
Per Skewness               -0.323660
Per Kurtosis               -1.349475
Current Perfusion Grad     27.958526
Quality of Perfusion        2.683895
Perfusion Amplitude         3.052971
Name: 54, dtype: float64",no-shock,Normal,no-shock,[1.]
55,"BPM                        63.965885
EGM Mean RV                 0.198815
EGM STD RV                  0.218942
EGM Skewness RV             1.293117
EGM Kurtosis RV             0.449574
R-R Interval RV           938.000000
Per Mean                   66.009442
Per STD                    16.349641
Per Skewness               -0.240151
Per Kurtosis               -1.369128
Current Perfusion Grad     29.946818
Quality of Perfusion        2.671194
Perfusion Amplitude         3.112111
Name: 55, dtype: float64",no-shock,Normal,no-shock,[1.]
56,"BPM                        65.717415
EGM Mean RV                 0.172601
EGM STD RV                  0.182126
EGM Skewness RV             1.218013
EGM Kurtosis RV             0.209200
R-R Interval RV           913.000000
Per Mean                   65.201274
Per STD                    14.823899
Per Skewness               -0.163810
Per Kurtosis               -1.481075
Current Perfusion Grad     30.983128
Quality of Perfusion        2.600353
Perfusion Amplitude         3.140599
Name: 56, dtype: float64",no-shock,Normal,no-shock,[1.]
57,"BPM                        65.502183
EGM Mean RV                 0.227765
EGM STD RV                  0.132626
EGM Skewness RV             1.264978
EGM Kurtosis RV             1.338282
R-R Interval RV           916.000000
Per Mean                   66.764287
Per STD                    13.005605
Per Skewness               -0.125540
Per Kurtosis               -1.511447
Current Perfusion Grad     31.818166
Quality of Perfusion        2.761219
Perfusion Amplitude         3.144385
Name: 57, dtype: float64",no-shock,Normal,no-shock,[1.]
58,"BPM                        62.565172
EGM Mean RV                 0.206706
EGM STD RV                  0.188433
EGM Skewness RV             1.094468
EGM Kurtosis RV            -0.071738
R-R Interval RV           959.000000
Per Mean                   69.671619
Per STD                    14.866914
Per Skewness               -0.147241
Per Kurtosis               -1.484259
Current Perfusion Grad     33.889977
Quality of Perfusion        2.714142
Perfusion Amplitude         3.471199
Name: 58, dtype: float64",no-shock,Normal,no-shock,[1.]
59,"BPM                        73.710074
EGM Mean RV                 0.159633
EGM STD RV                  0.170410
EGM Skewness RV             1.826950
EGM Kurtosis RV             2.360545
R-R Interval RV           814.000000
Per Mean                   71.230803
Per STD                    14.230364
Per Skewness               -0.220082
Per Kurtosis               -1.478297
Current Perfusion Grad     33.817734
Quality of Perfusion        2.760132
Perfusion Amplitude         3.464290
Name: 59, dtype: float64",no-shock,Normal,no-shock,[1.]
60,"BPM                         54.894785
EGM Mean RV                  0.262594
EGM STD RV                   0.198576
EGM Skewness RV              1.451564
EGM Kurtosis RV              2.588021
R-R Interval RV           1093.000000
Per Mean                    64.254900
Per STD                     18.573279
Per Skewness                -0.391202
Per Kurtosis                -1.330505
Current Perfusion Grad      32.234289
Quality of Perfusion         2.778345
Perfusion Amplitude          3.354381
Name: 60, dtype: float64",no-shock,Normal,no-shock,[1.]
61,"BPM                        67.491564
EGM Mean RV                 0.326790
EGM STD RV                  0.183862
EGM Skewness RV             1.468398
EGM Kurtosis RV             1.398149
R-R Interval RV           889.000000
Per Mean                   64.680936
Per STD                    17.473757
Per Skewness               -0.331181
Per Kurtosis               -1.328502
Current Perfusion Grad     29.989684
Quality of Perfusion        2.828145
Perfusion Amplitude         3.175971
Name: 61, dtype: float64",no-shock,Normal,no-shock,[1.]
62,"BPM                        61.412487
EGM Mean RV                 0.332610
EGM STD RV                  0.182527
EGM Skewness RV             1.096104
EGM Kurtosis RV             0.065900
R-R Interval RV           977.000000
Per Mean                   68.249468
Per STD                    17.316914
Per Skewness               -0.196933
Per Kurtosis               -1.447954
Current Perfusion Grad     29.677831
Quality of Perfusion        2.793619
Perfusion Amplitude         3.189520
Name: 62, dtype: float64",no-shock,Normal,no-shock,[1.]
